db_id,SQL,query_toks,query_toks_no_value,question,question_toks,sql,question_id,execution_time
planet_1,"SELECT T1.ShipmentID FROM Shipment AS T1 JOIN Planet AS T2 ON T1.Planet = T2.PlanetID WHERE T2.Name  =  ""Mars"";","['SELECT', 'T1.ShipmentID', 'FROM', 'Shipment', 'AS', 'T1', 'JOIN', 'Planet', 'AS', 'T2', 'ON', 'T1.Planet', '=', 'T2.PlanetID', 'WHERE', 'T2.Name', '=', '``', 'Mars', ""''"", ';']","['select', 't1', '.', 'shipmentid', 'from', 'shipment', 'as', 't1', 'join', 'planet', 'as', 't2', 'on', 't1', '.', 'planet', '=', 't2', '.', 'planetid', 'where', 't2', '.', 'name', '=', 'value']",List all shipment ids for the planet Mars.,"['List', 'all', 'shipment', 'ids', 'for', 'the', 'planet', 'Mars', '.']","{'from': {'table_units': [['table_unit', 2], ['table_unit', 1]], 'conds': [[False, 2, [0, [0, 12, False], None], [0, 6, False], None]]}, 'select': [False, [[0, [0, [0, 9, False], None]]]], 'where': [[False, 2, [0, [0, 7, False], None], '""Mars""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1895,5.354788777597174e-06
headphone_store,SELECT Neighborhood FROM store EXCEPT SELECT t1.Neighborhood FROM store AS t1 JOIN stock AS t2 ON t1.store_id  =  t2.store_id,"['SELECT', 'Neighborhood', 'FROM', 'store', 'EXCEPT', 'SELECT', 't1.Neighborhood', 'FROM', 'store', 'AS', 't1', 'JOIN', 'stock', 'AS', 't2', 'ON', 't1.store_id', '=', 't2.store_id']","['select', 'neighborhood', 'from', 'store', 'except', 'select', 't1', '.', 'neighborhood', 'from', 'store', 'as', 't1', 'join', 'stock', 'as', 't2', 'on', 't1', '.', 'store_id', '=', 't2', '.', 'store_id']",Find the neighborhood where no headphones are in stock.,"['Find', 'the', 'neighborhood', 'where', 'no', 'headphones', 'are', 'in', 'stock', '.']","{'from': {'table_units': [['table_unit', 1]], 'conds': []}, 'select': [False, [[0, [0, [0, 10, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': {'from': {'table_units': [['table_unit', 1], ['table_unit', 2]], 'conds': [[False, 2, [0, [0, 8, False], None], [0, 13, False], None]]}, 'select': [False, [[0, [0, [0, 10, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}}",962,9.193192436030567e-06
car_racing,SELECT Driver FROM driver ORDER BY Age ASC,"['SELECT', 'Driver', 'FROM', 'driver', 'ORDER', 'BY', 'Age', 'ASC']","['select', 'driver', 'from', 'driver', 'order', 'by', 'age', 'asc']",List all the driver names in ascending order of age.,"['List', 'all', 'the', 'driver', 'names', 'in', 'ascending', 'order', 'of', 'age', '.']","{'from': {'table_units': [['table_unit', 2]], 'conds': []}, 'select': [False, [[0, [0, [0, 13, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': ['asc', [[0, [0, 15, False], None]]], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1609,8.84343230287836e-06
warehouse_1,"SELECT Warehouse ,  count(*) FROM boxes GROUP BY warehouse","['SELECT', 'Warehouse', ',', 'count', '(', '*', ')', 'FROM', 'boxes', 'GROUP', 'BY', 'warehouse']","['select', 'warehouse', ',', 'count', '(', '*', ')', 'from', 'boxes', 'group', 'by', 'warehouse']",Select the warehouse codes along with the number of boxes in each warehouse.,"['Select', 'the', 'warehouse', 'codes', 'along', 'with', 'the', 'number', 'of', 'boxes', 'in', 'each', 'warehouse', '.']","{'from': {'table_units': [['table_unit', 1]], 'conds': []}, 'select': [False, [[0, [0, [0, 7, False], None]], [3, [0, [0, 0, False], None]]]], 'where': [], 'groupBy': [[0, 7, False]], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1743,8.149434414908591e-06
art_1,"SELECT T2.location ,   T2.medium FROM artists AS T1 JOIN paintings AS T2 ON T1.artistID  =  T2.painterID WHERE T1.fname  =  ""Pablo""","['SELECT', 'T2.location', ',', 'T2.medium', 'FROM', 'artists', 'AS', 'T1', 'JOIN', 'paintings', 'AS', 'T2', 'ON', 'T1.artistID', '=', 'T2.painterID', 'WHERE', 'T1.fname', '=', '``', 'Pablo', ""''""]","['select', 't2', '.', 'location', ',', 't2', '.', 'medium', 'from', 'artists', 'as', 't1', 'join', 'paintings', 'as', 't2', 'on', 't1', '.', 'artistid', '=', 't2', '.', 'painterid', 'where', 't1', '.', 'fname', '=', 'value']",In what locations and on what mediums are the paintings created by the artist with the first name Pablo?,"['In', 'what', 'locations', 'and', 'on', 'what', 'mediums', 'are', 'the', 'paintings', 'created', 'by', 'the', 'artist', 'with', 'the', 'first', 'name', 'Pablo', '?']","{'from': {'table_units': [['table_unit', 0], ['table_unit', 1]], 'conds': [[False, 2, [0, [0, 1, False], None], [0, 14, False], None]]}, 'select': [False, [[0, [0, [0, 13, False], None]], [0, [0, [0, 11, False], None]]]], 'where': [[False, 2, [0, [0, 3, False], None], '""Pablo""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1235,7.086221218071502e-06
soccer_3,"SELECT Earnings FROM player WHERE Country  =  ""Australia"" OR Country  =  ""Zimbabwe""","['SELECT', 'Earnings', 'FROM', 'player', 'WHERE', 'Country', '=', '``', 'Australia', ""''"", 'OR', 'Country', '=', '``', 'Zimbabwe', ""''""]","['select', 'earnings', 'from', 'player', 'where', 'country', '=', 'value', 'or', 'country', '=', 'value']",What are the earnings of players from either of the countries of Australia or Zimbabwe?,"['What', 'are', 'the', 'earnings', 'of', 'players', 'from', 'either', 'of', 'the', 'countries', 'of', 'Australia', 'or', 'Zimbabwe', '?']","{'from': {'table_units': [['table_unit', 1]], 'conds': []}, 'select': [False, [[0, [0, [0, 10, False], None]]]], 'where': [[False, 2, [0, [0, 9, False], None], '""Australia""', None], 'or', [False, 2, [0, [0, 9, False], None], '""Zimbabwe""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",39,5.8182120097405985e-06
customers_and_orders,"SELECT product_name FROM Products WHERE product_type_code  =  ""Hardware"" AND product_price  >  (SELECT avg(product_price) FROM Products WHERE product_type_code  =  ""Hardware"")","['SELECT', 'product_name', 'FROM', 'Products', 'WHERE', 'product_type_code', '=', '``', 'Hardware', ""''"", 'AND', 'product_price', '>', '(', 'SELECT', 'avg', '(', 'product_price', ')', 'FROM', 'Products', 'WHERE', 'product_type_code', '=', '``', 'Hardware', ""''"", ')']","['select', 'product_name', 'from', 'products', 'where', 'product_type_code', '=', 'value', 'and', 'product_price', '>', '(', 'select', 'avg', '(', 'product_price', ')', 'from', 'products', 'where', 'product_type_code', '=', 'value', ')']",Show all hardware product names with price higher than the average price of hardware type products.,"['Show', 'all', 'hardware', 'product', 'names', 'with', 'price', 'higher', 'than', 'the', 'average', 'price', 'of', 'hardware', 'type', 'products', '.']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 3, False], None]]]], 'where': [[False, 2, [0, [0, 2, False], None], '""Hardware""', None], 'and', [False, 3, [0, [0, 4, False], None], {'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[5, [0, [0, 4, False], None]]]], 'where': [[False, 2, [0, [0, 2, False], None], '""Hardware""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}, None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",251,7.001285069631506e-06
university_rank,SELECT T1.university_name FROM University AS T1 JOIN Overall_ranking AS T2 ON T1.university_id  =  T2.university_id ORDER BY T2.reputation_point,"['SELECT', 'T1.university_name', 'FROM', 'University', 'AS', 'T1', 'JOIN', 'Overall_ranking', 'AS', 'T2', 'ON', 'T1.university_id', '=', 'T2.university_id', 'ORDER', 'BY', 'T2.reputation_point']","['select', 't1', '.', 'university_name', 'from', 'university', 'as', 't1', 'join', 'overall_ranking', 'as', 't2', 'on', 't1', '.', 'university_id', '=', 't2', '.', 'university_id', 'order', 'by', 't2', '.', 'reputation_point']",List all university names in ascending order of their reputation points.,"['List', 'all', 'university', 'names', 'in', 'ascending', 'order', 'of', 'their', 'reputation', 'points', '.']","{'from': {'table_units': [['table_unit', 0], ['table_unit', 1]], 'conds': [[False, 2, [0, [0, 1, False], None], [0, 10, False], None]]}, 'select': [False, [[0, [0, [0, 2, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': ['asc', [[0, [0, 11, False], None]]], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1793,1.1785405351676875e-05
conference,"SELECT T1.conference_name FROM conference AS T1 JOIN conference_participation AS T2 ON T1.conference_id = T2.conference_id JOIN staff AS T3 ON T2.staff_id  =  T3.staff_id WHERE T3.nationality  =  ""Canada""","['SELECT', 'T1.conference_name', 'FROM', 'conference', 'AS', 'T1', 'JOIN', 'conference_participation', 'AS', 'T2', 'ON', 'T1.conference_id', '=', 'T2.conference_id', 'JOIN', 'staff', 'AS', 'T3', 'ON', 'T2.staff_id', '=', 'T3.staff_id', 'WHERE', 'T3.nationality', '=', '``', 'Canada', ""''""]","['select', 't1', '.', 'conference_name', 'from', 'conference', 'as', 't1', 'join', 'conference_participation', 'as', 't2', 'on', 't1', '.', 'conference_id', '=', 't2', '.', 'conference_id', 'join', 'staff', 'as', 't3', 'on', 't2', '.', 'staff_id', '=', 't3', '.', 'staff_id', 'where', 't3', '.', 'nationality', '=', 'value']",What are the names of all the conferences that has staff from Canada attending?,"['What', 'are', 'the', 'names', 'of', 'all', 'the', 'conferences', 'that', 'has', 'staff', 'from', 'Canada', 'attending', '?']","{'from': {'table_units': [['table_unit', 0], ['table_unit', 3], ['table_unit', 2]], 'conds': [[False, 2, [0, [0, 1, False], None], [0, 14, False], None], 'and', [False, 2, [0, [0, 15, False], None], [0, 9, False], None]]}, 'select': [False, [[0, [0, [0, 2, False], None]]]], 'where': [[False, 2, [0, [0, 12, False], None], '""Canada""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1082,7.336384809641826e-06
aan_1,"SELECT DISTINCT T1.title ,  T1.paper_id FROM Paper AS T1 JOIN Author_list AS T2 ON T1.paper_id  =  T2.paper_id JOIN Author AS T3 ON T2.author_id  =  T3.author_id WHERE  T3.name LIKE ""%Mckeown ,  Kathleen%"" OR T3.name LIKE ""%Rambow ,  Owen%""","['SELECT', 'DISTINCT', 'T1.title', ',', 'T1.paper_id', 'FROM', 'Paper', 'AS', 'T1', 'JOIN', 'Author_list', 'AS', 'T2', 'ON', 'T1.paper_id', '=', 'T2.paper_id', 'JOIN', 'Author', 'AS', 'T3', 'ON', 'T2.author_id', '=', 'T3.author_id', 'WHERE', 'T3.name', 'LIKE', '``', '%', 'Mckeown', ',', 'Kathleen', '%', ""''"", 'OR', 'T3.name', 'LIKE', '``', '%', 'Rambow', ',', 'Owen', '%', ""''""]","['select', 'distinct', 't1', '.', 'title', ',', 't1', '.', 'paper_id', 'from', 'paper', 'as', 't1', 'join', 'author_list', 'as', 't2', 'on', 't1', '.', 'paper_id', '=', 't2', '.', 'paper_id', 'join', 'author', 'as', 't3', 'on', 't2', '.', 'author_id', '=', 't3', '.', 'author_id', 'where', 't3', '.', 'name', 'like', 'value', 'or', 't3', '.', 'name', 'like', 'value']","Find the titles and paper IDs for papers which have Mckeown, Kathleen or Rambow, Owen in author list.","['Find', 'the', 'titles', 'and', 'paper', 'IDs', 'for', 'papers', 'which', 'have', 'Mckeown', ',', 'Kathleen', 'or', 'Rambow', ',', 'Owen', 'in', 'author', 'list', '.']","{'from': {'table_units': [['table_unit', 4], ['table_unit', 2], ['table_unit', 1]], 'conds': [[False, 2, [0, [0, 12, False], None], [0, 7, False], None], 'and', [False, 2, [0, [0, 8, False], None], [0, 4, False], None]]}, 'select': [True, [[0, [0, [0, 13, False], None]], [0, [0, [0, 12, False], None]]]], 'where': [[False, 9, [0, [0, 5, False], None], '""%Mckeown ,  Kathleen%""', None], 'or', [False, 9, [0, [0, 5, False], None], '""%Rambow ,  Owen%""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",987,0.02201164897114998
cre_Doc_and_collections,SELECT Collection_Subset_Name FROM Collection_Subsets;,"['SELECT', 'Collection_Subset_Name', 'FROM', 'Collection_Subsets', ';']","['select', 'collection_subset_name', 'from', 'collection_subsets']",List all collections' subset. List the subsets' names.,"['List', 'all', 'collections', ""'"", 'subset', '.', 'List', 'the', 'subsets', ""'"", 'names', '.']","{'from': {'table_units': [['table_unit', 1]], 'conds': []}, 'select': [False, [[0, [0, [0, 5, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",661,7.659072206929476e-06
bakery_1,SELECT DISTINCT T1.item FROM items AS T1 JOIN receipts AS T2 ON T1.receipt  =  T2.ReceiptNumber WHERE T2.CustomerId  =  15,"['SELECT', 'DISTINCT', 'T1.item', 'FROM', 'items', 'AS', 'T1', 'JOIN', 'receipts', 'AS', 'T2', 'ON', 'T1.receipt', '=', 'T2.ReceiptNumber', 'WHERE', 'T2.CustomerId', '=', '15']","['select', 'distinct', 't1', '.', 'item', 'from', 'items', 'as', 't1', 'join', 'receipts', 'as', 't2', 'on', 't1', '.', 'receipt', '=', 't2', '.', 'receiptnumber', 'where', 't2', '.', 'customerid', '=', 'value']",Give me a list of all the distinct items bought by the customer number 15.,"['Give', 'me', 'a', 'list', 'of', 'all', 'the', 'distinct', 'items', 'bought', 'by', 'the', 'customer', 'number', '15', '.']","{'from': {'table_units': [['table_unit', 2], ['table_unit', 3]], 'conds': [[False, 2, [0, [0, 8, False], None], [0, 11, False], None]]}, 'select': [True, [[0, [0, [0, 10, False], None]]]], 'where': [[False, 2, [0, [0, 13, False], None], 15.0, None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1507,5.579586822840602e-05
region_building,SELECT Name FROM building ORDER BY Number_of_Stories ASC,"['SELECT', 'Name', 'FROM', 'building', 'ORDER', 'BY', 'Number_of_Stories', 'ASC']","['select', 'name', 'from', 'building', 'order', 'by', 'number_of_stories', 'asc']",List the names of buildings in ascending order of number of stories.,"['List', 'the', 'names', 'of', 'buildings', 'in', 'ascending', 'order', 'of', 'number', 'of', 'stories', '.']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 3, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': ['asc', [[0, [0, 5, False], None]]], 'limit': None, 'intersect': None, 'union': None, 'except': None}",317,7.821514795656607e-06
cre_Doc_and_collections,"SELECT Document_Object_ID , count(*) FROM Document_Subset_Members GROUP BY Document_Object_ID ORDER BY count(*) ASC LIMIT 1;","['SELECT', 'Document_Object_ID', ',', 'count', '(', '*', ')', 'FROM', 'Document_Subset_Members', 'GROUP', 'BY', 'Document_Object_ID', 'ORDER', 'BY', 'count', '(', '*', ')', 'ASC', 'LIMIT', '1', ';']","['select', 'document_object_id', ',', 'count', '(', '*', ')', 'from', 'document_subset_members', 'group', 'by', 'document_object_id', 'order', 'by', 'count', '(', '*', ')', 'asc', 'limit', 'value']",Which document has least number of related documents? List the document id and the number of related documents.,"['Which', 'document', 'has', 'least', 'number', 'of', 'related', 'documents', '?', 'List', 'the', 'document', 'id', 'and', 'the', 'number', 'of', 'related', 'documents', '.']","{'from': {'table_units': [['table_unit', 5]], 'conds': []}, 'select': [False, [[0, [0, [0, 18, False], None]], [3, [0, [0, 0, False], None]]]], 'where': [], 'groupBy': [[0, 18, False]], 'having': [], 'orderBy': ['asc', [[0, [3, 0, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}",703,7.558121308308057e-06
cre_Students_Information_Systems,"SELECT achievement_type_code ,  achievement_details ,  date_achievement FROM Achievements","['SELECT', 'achievement_type_code', ',', 'achievement_details', ',', 'date_achievement', 'FROM', 'Achievements']","['select', 'achievement_type_code', ',', 'achievement_details', ',', 'date_achievement', 'from', 'achievements']","List the achievement type code, achievement details and the date of the achievements.","['List', 'the', 'achievement', 'type', 'code', ',', 'achievement', 'details', 'and', 'the', 'date', 'of', 'the', 'achievements', '.']","{'from': {'table_units': [['table_unit', 14]], 'conds': []}, 'select': [False, [[0, [0, [0, 51, False], None]], [0, [0, [0, 54, False], None]], [0, [0, [0, 53, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",475,1.3998685218864168e-05
car_racing,"SELECT Manager ,  Sponsor FROM team ORDER BY Car_Owner","['SELECT', 'Manager', ',', 'Sponsor', 'FROM', 'team', 'ORDER', 'BY', 'Car_Owner']","['select', 'manager', ',', 'sponsor', 'from', 'team', 'order', 'by', 'car_owner']",Find the manager and sponsor for each team and order them by the car owner.,"['Find', 'the', 'manager', 'and', 'sponsor', 'for', 'each', 'team', 'and', 'order', 'them', 'by', 'the', 'car', 'owner', '.']","{'from': {'table_units': [['table_unit', 1]], 'conds': []}, 'select': [False, [[0, [0, [0, 9, False], None]], [0, [0, [0, 10, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': ['asc', [[0, [0, 11, False], None]]], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1600,1.0796678558255386e-05
real_estate_rentals,SELECT avg(T3.room_count) FROM Property_Features AS T1 JOIN Features AS T2 ON T1.feature_id  =  T2.feature_id JOIN Properties AS T3 ON T1.property_id  =  T3.property_id WHERE T2.feature_name  =  'garden';,"['SELECT', 'avg', '(', 'T3.room_count', ')', 'FROM', 'Property_Features', 'AS', 'T1', 'JOIN', 'Features', 'AS', 'T2', 'ON', 'T1.feature_id', '=', 'T2.feature_id', 'JOIN', 'Properties', 'AS', 'T3', 'ON', 'T1.property_id', '=', 'T3.property_id', 'WHERE', 'T2.feature_name', '=', ""'garden"", ""'"", ';']","['select', 'avg', '(', 't3', '.', 'room_count', ')', 'from', 'property_features', 'as', 't1', 'join', 'features', 'as', 't2', 'on', 't1', '.', 'feature_id', '=', 't2', '.', 'feature_id', 'join', 'properties', 'as', 't3', 'on', 't1', '.', 'property_id', '=', 't3', '.', 'property_id', 'where', 't2', '.', 'feature_name', '=', 'value']",List the average room count of the properties with gardens.,"['List', 'the', 'average', 'room', 'count', 'of', 'the', 'properties', 'with', 'gardens', '.']","{'from': {'table_units': [['table_unit', 8], ['table_unit', 5], ['table_unit', 7]], 'conds': [[False, 2, [0, [0, 50, False], None], [0, 18, False], None], 'and', [False, 2, [0, [0, 49, False], None], [0, 34, False], None]]}, 'select': [False, [[5, [0, [0, 44, False], None]]]], 'where': [[False, 2, [0, [0, 19, False], None], '""garden""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1414,6.685244222877152e-06
car_road_race,SELECT T2.Race_Name FROM driver AS T1 JOIN race AS T2 ON T1.Driver_ID  =  T2.Driver_ID WHERE T1.Age  >=  26,"['SELECT', 'T2.Race_Name', 'FROM', 'driver', 'AS', 'T1', 'JOIN', 'race', 'AS', 'T2', 'ON', 'T1.Driver_ID', '=', 'T2.Driver_ID', 'WHERE', 'T1.Age', '>', '=', '26']","['select', 't2', '.', 'race_name', 'from', 'driver', 'as', 't1', 'join', 'race', 'as', 't2', 'on', 't1', '.', 'driver_id', '=', 't2', '.', 'driver_id', 'where', 't1', '.', 'age', '>', '=', 'value']",What are the names of races in which drivers 26 or older took part?,"['What', 'are', 'the', 'names', 'of', 'races', 'in', 'which', 'drivers', '26', 'or', 'older', 'took', 'part', '?']","{'from': {'table_units': [['table_unit', 0], ['table_unit', 1]], 'conds': [[False, 2, [0, [0, 1, False], None], [0, 9, False], None]]}, 'select': [False, [[0, [0, [0, 10, False], None]]]], 'where': [[False, 5, [0, [0, 7, False], None], 26.0, None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1339,6.797682786151311e-06
customers_and_orders,"SELECT product_type_code ,  avg(product_price) FROM Products GROUP BY product_type_code","['SELECT', 'product_type_code', ',', 'avg', '(', 'product_price', ')', 'FROM', 'Products', 'GROUP', 'BY', 'product_type_code']","['select', 'product_type_code', ',', 'avg', '(', 'product_price', ')', 'from', 'products', 'group', 'by', 'product_type_code']",What is the average price of products for each product type?,"['What', 'is', 'the', 'average', 'price', 'of', 'products', 'for', 'each', 'product', 'type', '?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 2, False], None]], [5, [0, [0, 4, False], None]]]], 'where': [], 'groupBy': [[0, 2, False]], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",264,8.428081447182565e-06
video_game,SELECT avg(Units_sold_Millions) FROM game WHERE developers != 'Nintendo',"['SELECT', 'avg', '(', 'Units_sold_Millions', ')', 'FROM', 'game', 'WHERE', 'developers', '!', '=', ""'Nintendo"", ""'""]","['select', 'avg', '(', 'units_sold_millions', ')', 'from', 'game', 'where', 'developers', '!', '=', 'value']",Return the average number of units sold in millions for games not developed by Nintendo.,"['Return', 'the', 'average', 'number', 'of', 'units', 'sold', 'in', 'millions', 'for', 'games', 'not', 'developed', 'by', 'Nintendo', '.']","{'from': {'table_units': [['table_unit', 1]], 'conds': []}, 'select': [False, [[5, [0, [0, 11, False], None]]]], 'where': [[False, 7, [0, [0, 9, False], None], '""Nintendo""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1936,5.774011228685126e-06
headphone_store,SELECT name FROM store WHERE store_id NOT IN (SELECT store_id FROM stock),"['SELECT', 'name', 'FROM', 'store', 'WHERE', 'store_id', 'NOT', 'IN', '(', 'SELECT', 'store_id', 'FROM', 'stock', ')']","['select', 'name', 'from', 'store', 'where', 'store_id', 'not', 'in', '(', 'select', 'store_id', 'from', 'stock', ')']",Find the name of stores which have no headphone in stock.,"['Find', 'the', 'name', 'of', 'stores', 'which', 'have', 'no', 'headphone', 'in', 'stock', '.']","{'from': {'table_units': [['table_unit', 1]], 'conds': []}, 'select': [False, [[0, [0, [0, 9, False], None]]]], 'where': [[True, 8, [0, [0, 8, False], None], {'from': {'table_units': [['table_unit', 2]], 'conds': []}, 'select': [False, [[0, [0, [0, 13, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}, None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",953,6.281110197023461e-06
bakery_1,"SELECT DISTINCT id FROM goods WHERE price  <  (SELECT max(price) FROM goods WHERE food  =  ""Tart"")","['SELECT', 'DISTINCT', 'id', 'FROM', 'goods', 'WHERE', 'price', '<', '(', 'SELECT', 'max', '(', 'price', ')', 'FROM', 'goods', 'WHERE', 'food', '=', '``', 'Tart', ""''"", ')']","['select', 'distinct', 'id', 'from', 'goods', 'where', 'price', '<', '(', 'select', 'max', '(', 'price', ')', 'from', 'goods', 'where', 'food', '=', 'value', ')']",Give the distinct ids for goods that cost less than any Tart.,"['Give', 'the', 'distinct', 'ids', 'for', 'goods', 'that', 'cost', 'less', 'than', 'any', 'Tart', '.']","{'from': {'table_units': [['table_unit', 1]], 'conds': []}, 'select': [True, [[0, [0, [0, 4, False], None]]]], 'where': [[False, 4, [0, [0, 7, False], None], {'from': {'table_units': [['table_unit', 1]], 'conds': []}, 'select': [False, [[1, [0, [0, 7, False], None]]]], 'where': [[False, 2, [0, [0, 6, False], None], '""Tart""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}, None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1530,1.7107282106698764e-05
cre_Doc_and_collections,SELECT Document_Object_ID FROM Document_Objects EXCEPT SELECT Parent_Document_Object_ID FROM Document_Objects,"['SELECT', 'Document_Object_ID', 'FROM', 'Document_Objects', 'EXCEPT', 'SELECT', 'Parent_Document_Object_ID', 'FROM', 'Document_Objects']","['select', 'document_object_id', 'from', 'document_objects', 'except', 'select', 'parent_document_object_id', 'from', 'document_objects']",What are the ids of the documents that are not parent documents?,"['What', 'are', 'the', 'ids', 'of', 'the', 'documents', 'that', 'are', 'not', 'parent', 'documents', '?']","{'from': {'table_units': [['table_unit', 2]], 'conds': []}, 'select': [False, [[0, [0, [0, 7, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': {'from': {'table_units': [['table_unit', 2]], 'conds': []}, 'select': [False, [[0, [0, [0, 8, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}}",682,6.954562838537374e-06
cre_Students_Information_Systems,"SELECT date_of_transcript ,  transcript_details FROM Transcripts","['SELECT', 'date_of_transcript', ',', 'transcript_details', 'FROM', 'Transcripts']","['select', 'date_of_transcript', ',', 'transcript_details', 'from', 'transcripts']",What are the date and detail of each transcript?,"['What', 'are', 'the', 'date', 'and', 'detail', 'of', 'each', 'transcript', '?']","{'from': {'table_units': [['table_unit', 1]], 'conds': []}, 'select': [False, [[0, [0, [0, 6, False], None]], [0, [0, [0, 7, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",474,1.046423108853174e-05
video_game,"SELECT Platform_name ,  Market_district FROM platform","['SELECT', 'Platform_name', ',', 'Market_district', 'FROM', 'platform']","['select', 'platform_name', ',', 'market_district', 'from', 'platform']",What are the names and market districts of all platforms?,"['What', 'are', 'the', 'names', 'and', 'market', 'districts', 'of', 'all', 'platforms', '?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 2, False], None]], [0, [0, [0, 3, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1937,6.3437980839587524e-06
book_review,"SELECT T1.Title ,  T1.audio FROM book AS T1 JOIN review AS T2 ON T1.Book_ID  =  T2.Book_ID ORDER BY T2.Readers_in_Million DESC","['SELECT', 'T1.Title', ',', 'T1.audio', 'FROM', 'book', 'AS', 'T1', 'JOIN', 'review', 'AS', 'T2', 'ON', 'T1.Book_ID', '=', 'T2.Book_ID', 'ORDER', 'BY', 'T2.Readers_in_Million', 'DESC']","['select', 't1', '.', 'title', ',', 't1', '.', 'audio', 'from', 'book', 'as', 't1', 'join', 'review', 'as', 't2', 'on', 't1', '.', 'book_id', '=', 't2', '.', 'book_id', 'order', 'by', 't2', '.', 'readers_in_million', 'desc']",List the title and audio length for all the books in descending order of the number of readers.,"['List', 'the', 'title', 'and', 'audio', 'length', 'for', 'all', 'the', 'books', 'in', 'descending', 'order', 'of', 'the', 'number', 'of', 'readers', '.']","{'from': {'table_units': [['table_unit', 0], ['table_unit', 1]], 'conds': [[False, 2, [0, [0, 1, False], None], [0, 9, False], None]]}, 'select': [False, [[0, [0, [0, 2, False], None]], [0, [0, [0, 6, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': ['desc', [[0, [0, 11, False], None]]], 'limit': None, 'intersect': None, 'union': None, 'except': None}",609,7.669131255078345e-06
