input_texts,predicted_queries,databases,target_queries,correct
Calculate the difference in the percentage of members in New Jersey and Vermont.,SELECT ABS((SELECT COUNT(*) FROM client WHERE district_id IN (SELECT district_id FROM district WHERE A2 = 'New Jersey')) / (SELECT COUNT(*) FROM client WHERE district_id IN (SELECT district_id FROM district WHERE A2 = 'Vermont')) - (SELECT COUNT(*) FROM client WHERE district_id IN (SELECT district_id FROM district WHERE A2 = 'Vermont')) / (SELECT COUNT(*) FROM client WHERE district_id IN (SELECT district_id FROM district WHERE A2 = 'Vermont'))) * 100;,financial,SELECT CAST((SUM(CASE WHEN T2.state = 'New Jersey' THEN 1 ELSE 0 END) - SUM(CASE WHEN T2.state = 'Vermont' THEN 1 ELSE 0 END)) AS REAL) * 100 / COUNT(T1.member_id) AS diff FROM member AS T1 INNER JOIN zip_code AS T2 ON T2.zip_code = T1.zip,0
Provide the full names of vampire heroes.,SELECT superhero_name FROM superhero WHERE hero_type = 'vampire';,superhero,SELECT T1.full_name FROM superhero AS T1 INNER JOIN race AS T2 ON T1.race_id = T2.id WHERE T2.race = 'Vampire',0
List the card names with value that cost more converted mana for the face.,"SELECT name, faceConvertedManaCost
        FROM cards
        WHERE faceConvertedManaCost > (SELECT MAX(convertedManaCost)
                                       FROM cards
                                       WHERE name = cards.name)
        ORDER BY faceConvertedManaCost DESC;",card_games,SELECT name FROM cards ORDER BY faceConvertedManaCost LIMIT 1,0
"Of the first 100 molecules in number order, how many are carcinogenic?",SELECT COUNT(*) FROM molecule WHERE label = 'carcinogenic' ORDER BY molecule_id LIMIT 100;,toxicology,SELECT COUNT(T.molecule_id) FROM molecule AS T WHERE molecule_id BETWEEN 'TR000' AND 'TR099' AND T.label = '+',0
"How many artists have designed a card with a black border color and is available in both ""arena"" and ""mtgo"" printing type?","SELECT COUNT(artist) 
        FROM cards 
        WHERE border_color = 'black' 
        AND (printing_type = 'arena' OR printing_type = 'mtgo');",card_games,"SELECT COUNT(CASE WHEN availability LIKE '%arena,mtgo%' AND borderColor = 'black' THEN 1 ELSE NULL END) FROM cards",0
"Among the users who obtained the ""Organizer"" badges, calculate the percentage of users who are teenagers.","SELECT 
            COUNT(*) * 100.0 / (SELECT COUNT(*) FROM member WHERE position = 'Organizer') 
        FROM member WHERE age = 'Teenager' AND position = 'Organizer';",student_club,"SELECT CAST(SUM(IIF(T2.Age BETWEEN 13 AND 18, 1, 0)) AS REAL) * 100 / COUNT(T1.Id) FROM badges AS T1 INNER JOIN users AS T2 ON T1.UserId = T2.Id WHERE T1.`Name` = 'Organizer'",0
How many atoms belong to the molecule that element is hydrogen and labeled with carcinogenic compound?,,,SELECT COUNT(T1.atom_id) AS atomnums_h FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+' AND T1.element = 'h',0
What language is the set of 180 cards that belongs to the Ravnica block translated into?,,,SELECT T2.language FROM sets AS T1 INNER JOIN set_translations AS T2 ON T1.code = T2.setCode WHERE T1.block = 'Ravnica' AND T1.baseSetSize = 180,0
"For all the female patient age 50 and above, who has abnormal red blood cell count. State if they were admitted to hospital.","SELECT Patient.ID, Patient.SEX, Patient.Birthday, Patient.Description, Patient.First_Date, Patient.Admission, Patient.Diagnosis FROM Patient INNER JOIN Examination ON Patient.ID = Examination.ID WHERE Patient.SEX = 'female' AND Patient.Birthday <= '1974-01-01' AND (Examination.KCT = 'abnormal' OR Examination.'aCL IgG' = 'abnormal' OR Examination.'aCL IgM' = 'abnormal' OR Examination.ANA = 'abnormal' OR Examination.'ANA Pattern' = 'abnormal' OR Examination.'aCL IgA' = 'abnormal' OR Examination.RVVT = 'abnormal' OR Examination.LAC = 'abnormal') AND Examination.Symptoms = 'Thrombosis' AND Patient.Admission = 'Yes';",thrombosis_prediction,"SELECT DISTINCT T1.ID, T1.Admission FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.SEX = 'F' AND (T2.RBC <= 3.5 OR T2.RBC >= 6.0) AND STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', T1.Birthday) >= 50",0
How many drivers managed to finish the race in the 2008 Australian Grand Prix?,SELECT COUNT(*) FROM results INNER JOIN races ON results.raceId = races.raceId WHERE races.name = 'Australian Grand Prix' AND races.year = 2008;,formula_1,SELECT COUNT(T2.driverId) FROM races AS T1 INNER JOIN results AS T2 ON T2.raceId = T1.raceId WHERE T1.name = 'Australian Grand Prix' AND T1.year = 2008 AND T2.time IS NOT NULL,0
Provide the hero name and race of Charles Chandler.,,,"SELECT T1.superhero_name, T2.race FROM superhero AS T1 INNER JOIN race AS T2 ON T1.race_id = T2.id WHERE T1.full_name = 'Charles Chandler'",0
Give the race of the blue-haired male superhero.,SELECT r.race FROM superhero AS s INNER JOIN colour AS c ON s.hair_colour_id=c.id INNER JOIN race AS r ON s.race_id=r.id INNER JOIN gender AS g ON s.gender_id=g.id WHERE c.colour='blue' AND g.gender='male';,superhero,SELECT T3.race FROM superhero AS T1 INNER JOIN colour AS T2 ON T1.hair_colour_id = T2.id INNER JOIN race AS T3 ON T1.race_id = T3.id INNER JOIN gender AS T4 ON T1.gender_id = T4.id WHERE T2.colour = 'Blue' AND T4.gender = 'Male',0
List all the sets available in Italian translation. State the total number of cards per set.,"SELECT set_translations.translation, COUNT(cards.id) AS total_cards 
        FROM set_translations 
        INNER JOIN sets ON set_translations.setCode = sets.code 
        INNER JOIN cards ON sets.code = cards.setCode 
        WHERE set_translations.language = 'italian' 
        GROUP BY set_translations.translation;",card_games,"SELECT T1.name, T1.totalSetSize FROM sets AS T1 INNER JOIN set_translations AS T2 ON T1.code = T2.setCode WHERE T2.language = 'Italian'",0
Which players had an overall rating of over 80 from 2008 to 2010? Please list player names.,SELECT DISTINCT player_name FROM Player INNER JOIN Player_Attributes ON Player.player_api_id = Player_Attributes.player_api_id WHERE overall_rating > 80 AND (Player_Attributes.date >= '2008-01-01' AND Player_Attributes.date <= '2010-12-31');,european_football_2,"SELECT DISTINCT t1.player_name FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id WHERE t2.overall_rating > 80 AND SUBSTR(t2.`date`, 1, 4) BETWEEN '2008' AND '2010'",1
"Please list the countries of the gas stations with transactions taken place in June, 2013.",SELECT country FROM gas_stations WHERE transaction_date BETWEEN '2013-06-01' AND '2013-06-30';,financial,SELECT DISTINCT T2.Country FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID INNER JOIN yearmonth AS T3 ON T1.CustomerID = T3.CustomerID WHERE T3.Date = '201306',0
List all the withdrawals in cash transactions that the client with the id 3356 makes.,"SELECT t.k_symbol, t.bank, t.account FROM trans AS t INNER JOIN account AS a ON a.account_id = t.account_id INNER JOIN disp AS d ON d.account_id = a.account_id INNER JOIN client AS c ON c.client_id = d.client_id WHERE t.type = 'VYDAJ' AND c.client_id = 3356 AND t.k_symbol = 'VK';",financial,SELECT T4.trans_id FROM client AS T1 INNER JOIN disp AS T2 ON T1.client_id = T2.client_id INNER JOIN account AS T3 ON T2.account_id = T3.account_id INNER JOIN trans AS T4 ON T3.account_id = T4.account_id WHERE T1.client_id = 3356 AND T4.operation = 'VYBER',0
How many card border with black color ? List out the card id.,"SELECT COUNT(id) AS black_card_count, id FROM cards WHERE borderColor = 'black' GROUP BY id;",card_games,SELECT id FROM cards WHERE borderColor = 'black' GROUP BY id,0
State the driver with the most points scored. Find his full name with that points.,"SELECT drivers.forename || ' ' || drivers.surname AS full_name, driverStandings.points
        FROM drivers
        JOIN driverStandings ON drivers.driverId = driverStandings.driverId
        ORDER BY driverStandings.points DESC
        LIMIT 1;",formula_1,"SELECT T3.forename, T3.surname, T2.points FROM races AS T1 INNER JOIN driverStandings AS T2 ON T2.raceId = T1.raceId INNER JOIN drivers AS T3 ON T3.driverId = T2.driverId ORDER BY T2.points DESC LIMIT 1",0
What is the eye colour of superhero with superhero ID 75?,"SELECT c.colour
        FROM superhero AS s
        INNER JOIN colour AS c ON c.id = s.eye_colour_id
        WHERE s.id = 75",superhero,SELECT T2.colour FROM superhero AS T1 INNER JOIN colour AS T2 ON T1.eye_colour_id = T2.id WHERE T1.id = 75,1
What is the average amount of loan which are still on running contract with statement issuance after each transaction?,SELECT AVG(loan.amount) FROM loan INNER JOIN trans on loan.loan_id = trans.loan_id WHERE loan.status = 'running' AND trans.k_symbol = 'statement' AND loan.date > trans.date;,financial,"SELECT AVG(T2.amount) FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id WHERE T2.status IN ('C', 'D') AND T1.frequency = 'POPLATEK PO OBRATU'",0
Which post by Harvey Motulsky has the most views? Please give the id and title of this post.,"SELECT ""id"", ""title"" FROM posts WHERE author = ""Harvey Motulsky"" ORDER BY views DESC LIMIT 1;",financial,"SELECT T2.Id, T2.Title FROM users AS T1 INNER JOIN posts AS T2 ON T1.Id = T2.OwnerUserId WHERE T1.DisplayName = 'Harvey Motulsky' ORDER BY T2.ViewCount DESC LIMIT 1",0
"What is the highest total bilirubin level recorded? List out the patient details with ID, sex and birthday with that index.",SELECT total_bilirubin FROM toxicology WHERE total_bilirubin = (SELECT MAX(total_bilirubin) FROM toxicology);,toxicology,"SELECT T2.`T-BIL`, T1.ID, T1.SEX, T1.Birthday FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID ORDER BY T2.`T-BIL` DESC LIMIT 1",0
Was the total cholesterol status for the patient id 2927464 on 1995-9-4 at the normal level?,SELECT status FROM Examination WHERE ID = 2927464 AND `Examination Date` = '1995-9-4' AND status = 'normal level';,thrombosis_prediction,SELECT CASE WHEN `T-CHO` < 250 THEN 'Normal' ELSE 'Abnormal' END FROM Laboratory WHERE ID = 2927464 AND Date = '1995-09-04',0
What is the eligible free rate of the 10th and 11th schools with the highest enrolment for students in grades 1 through 12?,"SELECT `Percent (%) Eligible Free (K-12)` FROM california_schools.frpm WHERE `School Type` = 'School' AND `Free Meal Count (K-12)` != 0 AND `Enrollment (K-12)` != 0 AND `Grade Level` IN ('1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12') ORDER BY `Percent (%) Eligible Free (K-12)` DESC LIMIT 2;",california_schools,"SELECT CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)` FROM frpm ORDER BY `Enrollment (K-12)` DESC LIMIT 9, 2",0
How many cards with unknown power that can't be found in foil is in duel deck A?,SELECT COUNT(*) FROM cards WHERE power = 'Unknown' AND frameEffects = 'Unset' AND duelDeck = 'A';,card_games,SELECT SUM(CASE WHEN power = '*' OR power IS NULL THEN 1 ELSE 0 END) FROM cards WHERE hasFoil = 0 AND duelDeck = 'a',0
How many triple type bonds are there?,SELECT COUNT(bond_id) FROM bond WHERE bond_type = 'triple';,toxicology,SELECT COUNT(T.bond_id) FROM bond AS T WHERE T.bond_type = '#',0
Who is the oldest patient with the highest total cholesterol (T-CHO). State the patient ID and T-CHO index.,"SELECT patient.ID, laboratory.""T-CHO"" AS ""T-CHO index"" FROM patient JOIN laboratory ON patient.ID = laboratory.ID WHERE patient.Birthday < 'today' ORDER BY laboratory.""T-CHO"" DESC LIMIT 1;",thrombosis_prediction,"SELECT T1.ID, T2.`T-CHO` FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID ORDER BY T2.`T-CHO` DESC, T1.Birthday ASC LIMIT 1",1
Name the top 3 drivers and the points they scored in the 2017 Chinese Grand Prix.,"SELECT drivers.forename, drivers.surname, driverStandings.points FROM driverStandings JOIN races ON races.raceId = driverStandings.raceId JOIN drivers ON drivers.driverId = driverStandings.driverId WHERE races.name = 'Chinese Grand Prix' AND races.year = 2017 ORDER BY driverStandings.points DESC LIMIT 3;",formula_1,"SELECT T3.forename, T3.surname, T2.points FROM races AS T1 INNER JOIN driverStandings AS T2 ON T2.raceId = T1.raceId INNER JOIN drivers AS T3 ON T3.driverId = T2.driverId WHERE T1.name = 'Chinese Grand Prix' AND T1.year = 2017 ORDER BY T2.points DESC LIMIT 3",1
Write all comments made on the post titled 'How does gentle boosting differ from AdaBoost?',"SELECT ""Text"" FROM comments WHERE PostId = (SELECT Id FROM posts WHERE Title = 'How does gentle boosting differ from AdaBoost?');",codebase_community,SELECT T1.Text FROM comments AS T1 INNER JOIN posts AS T2 ON T1.PostId = T2.Id WHERE T2.Title = 'How does gentle boosting differ from AdaBoost?',1
"For the driver who set the fastest lap speed, what is his nationality?",SELECT DISTINCT drivers.nationality FROM drivers JOIN lapTimes ON drivers.driverId = lapTimes.driverId ORDER BY lapTimes.milliseconds ASC LIMIT 1;,formula_1,SELECT T1.nationality FROM drivers AS T1 INNER JOIN results AS T2 ON T2.driverId = T1.driverId ORDER BY T2.fastestLapSpeed DESC LIMIT 1,0
What are the maximum points of British constructors?,SELECT MAX(points) FROM constructorStandings JOIN constructors ON constructorStandings.constructorId = constructors.constructorId WHERE constructors.nationality = 'British';,formula_1,SELECT MAX(T1.points) FROM constructorStandings AS T1 INNER JOIN constructors AS T2 on T1.constructorId = T2.constructorId WHERE T2.nationality = 'British',1
